id,project_a,project_b,weight_a,weight_b,project_a_star_count,project_a_fork_count,project_a_watcher_count,project_a_contributors_count,project_a_Readme_score,project_a_technical_innovation,project_a_community_engagement,project_a_accessibility,project_b_star_count,project_b_fork_count,project_b_watcher_count,project_b_contributors_count,project_b_Readme_score,project_b_technical_innovation,project_b_community_engagement,project_b_accessibility
36,https://github.com/sigp/lighthouse,https://github.com/openzeppelin/openzeppelin-contracts,0.66091121186,0.33908878814,3k,784,70,192,4.5,4.8,4.2,4.0,25.2k,11.9k,640,464,4.5,4.8,4.7,4.3
37,https://github.com/sigp/lighthouse,https://github.com/protofire/solhint,0.93131616667,0.06868383333,3k,784,70,192,4.5,4.8,4.2,4.0,1.1k,169,21,52,4.5,4.0,3.5,4.0
38,https://github.com/sigp/lighthouse,https://github.com/ipfs/js-ipfs,0.70437322525,0.29562677475,3k,784,70,192,4.5,4.8,4.2,4.0,7.4k,1.3k,223,221,4.0,4.5,3.5,3.0
39,https://github.com/sigp/lighthouse,https://github.com/eth-infinitism/account-abstraction,0.57870404113,0.42129595887,3k,784,70,192,4.5,4.8,4.2,4.0,1.6k,675,39,25,3.5,4.0,3.0,3.5
40,https://github.com/sigp/lighthouse,https://github.com/safe-global/safe-smart-account,0.58047178680,0.41952821320,3k,784,70,192,4.5,4.8,4.2,4.0,1.9k,957,49,50,4.5,4.0,3.5,3.0
41,https://github.com/sigp/lighthouse,https://github.com/crate-crypto/go-ipa,0.89445634070,0.10554365930,3k,784,70,192,4.5,4.8,4.2,4.0,33,14,3,3,4.0,4.5,3.0,3.5
42,https://github.com/sigp/lighthouse,https://github.com/libp2p/go-libp2p,0.38322592570,0.61677407430,3k,784,70,192,4.5,4.8,4.2,4.0,6.2k,1.1k,181,214,4.5,4.8,4.2,4.0
43,https://github.com/sigp/lighthouse,https://github.com/paradigmxyz/reth,0.56547080695,0.43452919305,3k,784,70,192,4.5,4.8,4.2,4.0,4.3k,1.3k,60,446,4.5,4.8,4.2,4.0
47,https://github.com/sigp/lighthouse,https://github.com/erigontech/erigon,0.50000000000,0.50000000000,3k,784,70,192,4.5,4.8,4.2,4.0,3.2k,1.2k,65,833,4.5,4.8,4.2,3.8
48,https://github.com/sigp/lighthouse,https://github.com/grandinetech/grandine,0.52527829830,0.47472170170,3k,784,70,192,4.5,4.8,4.2,4.0,183,33,7,8,4.5,4.0,3.5,3.0
50,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prysmaticlabs/prysm,0.29435869392,0.70564130608,1.5k,727,73,144,4.0,4.5,4.0,3.5,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0
51,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethers-io/ethers.js,0.33171687205,0.66828312795,1.5k,727,73,144,4.0,4.5,4.0,3.5,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0
54,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vyperlang/vyper,0.58751317499,0.41248682501,1.5k,727,73,144,4.0,4.5,4.0,3.5,5k,819,161,223,4.5,4.8,4.2,4.0
55,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/consensys/teku,0.89823233521,0.10176766479,1.5k,727,73,144,4.0,4.5,4.0,3.5,692,304,34,109,4.5,4.0,4.0,3.5
56,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier-solidity/prettier-plugin-solidity,0.69208471138,0.30791528862,1.5k,727,73,144,4.0,4.5,4.0,3.5,731,75,12,21,4.5,4.0,3.5,4.0
58,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethereum/remix-project,0.99995892720,0.00004107280,1.5k,727,73,144,4.0,4.5,4.0,3.5,2.5k,1k,68,181,4.5,4.8,4.2,4.0
61,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/bluealloy/revm,0.00943396226,0.99056603774,1.5k,727,73,144,4.0,4.5,4.0,3.5,1.7k,602,30,154,4.5,4.8,4.2,4.0
62,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/jedisct1/go-minisign,0.00188679245,0.99811320755,1.5k,727,73,144,4.0,4.5,4.0,3.5,113,12,5,3,3.5,3.0,2.5,3.0
63,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/level/levelup,0.01098901099,0.98901098901,1.5k,727,73,144,4.0,4.5,4.0,3.5,4.1k,267,91,42,4.5,4.0,3.5,3.0
65,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier/prettier,0.00010790979,0.99989209021,1.5k,727,73,144,4.0,4.5,4.0,3.5,49.8k,4.4k,419,715,4.5,4.8,4.7,4.3
66,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sheetjs/js-crc32,0.02631578947,0.97368421053,1.5k,727,73,144,4.0,4.5,4.0,3.5,345,37,10,6,4.5,3.5,3.0,4.0
67,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pion/webrtc,0.00277008310,0.99722991690,1.5k,727,73,144,4.0,4.5,4.0,3.5,14.1k,1.7k,261,203,4.5,4.8,4.7,4.3
69,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/postcss/postcss,0.00106269926,0.99893730074,1.5k,727,73,144,4.0,4.5,4.0,3.5,28.6k,1.6k,506,385,4.5,4.8,4.2,4.0
72,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/babel/babel,0.00001380000,0.99998620000,1.5k,727,73,144,4.0,4.5,4.0,3.5,43.4k,5.7k,804,"1,091",4.5,4.8,4.7,4.3
73,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vuejs/vue,0.00005140000,0.99994860000,1.5k,727,73,144,4.0,4.5,4.0,3.5,208k,33.7k,5.9k,366,4.5,4.0,4.5,4.0
75,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ajv-validator/ajv,0.00041373604,0.99958626396,1.5k,727,73,144,4.0,4.5,4.0,3.5,14k,886,112,207,4.5,4.8,4.2,4.0
76,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/cssnano/cssnano,0.00151285930,0.99848714070,1.5k,727,73,144,4.0,4.5,4.0,3.5,4.8k,319,49,109,4.5,4.0,4.0,4.0
78,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/mochajs/mocha,0.00021463833,0.99978536167,1.5k,727,73,144,4.0,4.5,4.0,3.5,22.7k,3k,398,503,4.5,4.0,4.5,4.0
79,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/go-task/slim-sprig,0.00366300366,0.99633699634,1.5k,727,73,144,4.0,4.5,4.0,3.5,63,15,4,Not provided,3.5,3.0,2.5,3.0
80,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/tokio-rs/tokio,0.00005110000,0.99994890000,1.5k,727,73,144,4.0,4.5,4.0,3.5,27.7k,2.5k,315,855,4.5,4.8,4.7,4.3
82,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/facebook/react,0.01315789474,0.98684210526,1.5k,727,73,144,4.0,4.5,4.0,3.5,231k,47.4k,6.6k,"1,681",4.5,5,4.8,4.7
83,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/node-fetch/node-fetch,0.00609756098,0.99390243902,1.5k,727,73,144,4.0,4.5,4.0,3.5,8.8k,1k,89,119,4.5,4.0,4.0,4.0
84,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/import-js/eslint-plugin-import,0.00277008310,0.99722991690,1.5k,727,73,144,4.0,4.5,4.0,3.5,5.6k,1.6k,37,363,4.5,4.0,4.2,4.0
85,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/chzyer/readline,0.10000000000,0.90000000000,1.5k,727,73,144,4.0,4.5,4.0,3.5,2.1k,280,41,38,4.0,4.5,3.5,3.0
86,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pnpm/cmd-shim,0.00038211693,0.99961788307,1.5k,727,73,144,4.0,4.5,4.0,3.5,14,11,5,Not provided,3.5,3.0,2.5,3.0
87,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/electron/electron,0.00111111111,0.99888888889,1.5k,727,73,144,4.0,4.5,4.0,3.5,115k,15.7k,2.8k,"1,291",4.5,4.8,4.7,4.6
90,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/browserslist/browserslist,0.00100401606,0.99899598394,1.5k,727,73,144,4.0,4.5,4.0,3.5,13.1k,721,140,179,4.5,4.0,4.0,3.5
91,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/debug-js/debug,0.00196078431,0.99803921569,1.5k,727,73,144,4.0,4.5,4.0,3.5,11.2k,945,139,116,4.5,4.0,4.0,4.0
92,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/immerjs/immer,0.00305810398,0.99694189602,1.5k,727,73,144,4.0,4.5,4.0,3.5,28k,852,155,188,4.5,4.8,4.2,4.0
93,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sindresorhus/type-fest,0.00004180000,0.99995820000,1.5k,727,73,144,4.0,4.5,4.0,3.5,14.7k,570,52,181,4.5,4.8,4.2,4.0
95,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/marak/colors.js,0.00008580000,0.99991420000,1.5k,727,73,144,4.0,4.5,4.0,3.5,5.2k,449,53,44,4.5,3.5,3.0,4.0
96,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/axios/axios,0.00047709924,0.99952290076,1.5k,727,73,144,4.0,4.5,4.0,3.5,106k,11k,1.2k,454,4.5,4.8,4.7,4.3
98,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/motdotla/dotenv,0.03225806452,0.96774193548,1.5k,727,73,144,4.0,4.5,4.0,3.5,19.4k,861,109,87,4.5,4.0,4.0,4.5
99,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/streetsidesoftware/cspell,0.05555555556,0.94444444444,1.5k,727,73,144,4.0,4.5,4.0,3.5,1.3k,103,13,69,4.5,4.0,4.0,4.0
100,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/eslint/eslint,0.00001650000,0.99998350000,1.5k,727,73,144,4.0,4.5,4.0,3.5,25.4k,4.6k,315,"1,035",4.5,4.8,4.7,4.3
101,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/floating-ui/floating-ui,0.00044286980,0.99955713020,1.5k,727,73,144,4.0,4.5,4.0,3.5,30.5k,1.6k,257,112,4.5,4.7,4.2,4.0
102,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/boa-dev/boa,0.16666666670,0.83333333330,1.5k,727,73,144,4.0,4.5,4.0,3.5,5.4k,411,47,177,4.5,4.8,4.2,4.0
104,https://github.com/nomicfoundation/hardhat,https://github.com/ethers-io/ethers.js,0.28480116486,0.71519883514,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0
106,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/solidity,0.69936673380,0.30063326620,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,23.7k,5.9k,732,636,4.5,4.8,4.7,4.2
107,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/remix-project,0.76497007510,0.23502992490,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,2.5k,1k,68,181,4.5,4.8,4.2,4.0
108,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/go-ethereum,0.49585948913,0.50414051087,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,48.1k,20.4k,2.2k,"1,111",4.5,4.8,4.7,4.2
111,https://github.com/nomicfoundation/hardhat,https://github.com/libp2p/go-libp2p,0.48453631670,0.51546368330,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,6.2k,1.1k,181,214,4.5,4.8,4.2,4.0
113,https://github.com/nomicfoundation/hardhat,https://github.com/crate-crypto/go-ipa,0.84939746520,0.15060253480,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,33,14,3,3,4.0,4.5,3.0,3.5
114,https://github.com/nomicfoundation/hardhat,https://github.com/eth-infinitism/account-abstraction,0.53007523060,0.46992476940,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,1.6k,675,39,25,3.5,4.0,3.0,3.5
115,https://github.com/nomicfoundation/hardhat,https://github.com/ipfs/js-ipfs,0.55373156320,0.44626843680,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3,7.4k,1.3k,223,221,4.0,4.5,3.5,3.0
116,https://github.com/vyperlang/vyper,https://github.com/ethers-io/ethers.js,0.20776396241,0.79223603759,5k,819,161,223,4.5,4.8,4.2,4.0,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0
117,https://github.com/vyperlang/vyper,https://github.com/prysmaticlabs/prysm,0.18678012109,0.81321987891,5k,819,161,223,4.5,4.8,4.2,4.0,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0
118,https://github.com/vyperlang/vyper,https://github.com/sigp/lighthouse,0.24608728415,0.75391271585,5k,819,161,223,4.5,4.8,4.2,4.0,3k,784,70,192,4.5,4.8,4.2,4.0
119,https://github.com/vyperlang/vyper,https://github.com/nomicfoundation/hardhat,0.37829031520,0.62170968480,5k,819,161,223,4.5,4.8,4.2,4.0,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3
120,https://github.com/vyperlang/vyper,https://github.com/consensys/teku,0.84809609247,0.15190390753,5k,819,161,223,4.5,4.8,4.2,4.0,692,304,34,109,4.5,4.0,4.0,3.5
122,https://github.com/vyperlang/vyper,https://github.com/ethereum/solidity,0.53133207100,0.46866792900,5k,819,161,223,4.5,4.8,4.2,4.0,23.7k,5.9k,732,636,4.5,4.8,4.7,4.2
123,https://github.com/vyperlang/vyper,https://github.com/ethereum/remix-project,0.65708932123,0.34291067877,5k,819,161,223,4.5,4.8,4.2,4.0,2.5k,1k,68,181,4.5,4.8,4.2,4.0
124,https://github.com/vyperlang/vyper,https://github.com/ethereum/go-ethereum,0.41713256666,0.58286743334,5k,819,161,223,4.5,4.8,4.2,4.0,48.1k,20.4k,2.2k,"1,111",4.5,4.8,4.7,4.2
126,https://github.com/vyperlang/vyper,https://github.com/bluealloy/revm,0.73376048427,0.26623951573,5k,819,161,223,4.5,4.8,4.2,4.0,1.7k,602,30,154,4.5,4.8,4.2,4.0
127,https://github.com/vyperlang/vyper,https://github.com/openzeppelin/openzeppelin-contracts,0.54767223756,0.45232776244,5k,819,161,223,4.5,4.8,4.2,4.0,25.2k,11.9k,640,464,4.5,4.8,4.7,4.3
128,https://github.com/vyperlang/vyper,https://github.com/supranational/blst,0.78133970630,0.21866029370,5k,819,161,223,4.5,4.8,4.2,4.0,485,182,18,22,4.5,4.8,3.5,3.8
129,https://github.com/vyperlang/vyper,https://github.com/status-im/nimbus-eth2,0.56845505407,0.43154494593,5k,819,161,223,4.5,4.8,4.2,4.0,558,251,37,93,4.5,4.0,3.5,3.0
130,https://github.com/vyperlang/vyper,https://github.com/eth-infinitism/account-abstraction,0.53799804863,0.46200195137,5k,819,161,223,4.5,4.8,4.2,4.0,1.6k,675,39,25,3.5,4.0,3.0,3.5
131,https://github.com/vyperlang/vyper,https://github.com/protofire/solhint,0.89035390795,0.10964609205,5k,819,161,223,4.5,4.8,4.2,4.0,1.1k,169,21,52,4.5,4.0,3.5,4.0
132,https://github.com/vyperlang/vyper,https://github.com/safe-global/safe-smart-account,0.53069345790,0.46930654210,5k,819,161,223,4.5,4.8,4.2,4.0,1.9k,957,49,50,4.5,4.0,3.5,3.0
133,https://github.com/vyperlang/vyper,https://github.com/crate-crypto/go-ipa,0.87555135830,0.12444864170,5k,819,161,223,4.5,4.8,4.2,4.0,33,14,3,3,4.0,4.5,3.0,3.5
134,https://github.com/vyperlang/vyper,https://github.com/libp2p/go-libp2p,0.34707625655,0.65292374345,5k,819,161,223,4.5,4.8,4.2,4.0,6.2k,1.1k,181,214,4.5,4.8,4.2,4.0
137,https://github.com/vyperlang/vyper,https://github.com/ipfs/js-ipfs,0.52381024090,0.47618975910,5k,819,161,223,4.5,4.8,4.2,4.0,7.4k,1.3k,223,221,4.0,4.5,3.5,3.0
138,https://github.com/vyperlang/vyper,https://github.com/ethereumjs/ethereumjs-monorepo,0.49359900190,0.50640099810,5k,819,161,223,4.5,4.8,4.2,4.0,2.6k,775,64,206,4.5,4.8,4.2,4.0
139,https://github.com/vyperlang/vyper,https://github.com/quic-go/quic-go,0.68712990330,0.31287009670,5k,819,161,223,4.5,4.8,4.2,4.0,10.3k,1.3k,218,113,4.5,4.8,4.2,4.0
141,https://github.com/vyperlang/vyper,https://github.com/grandinetech/grandine,0.48976720600,0.51023279400,5k,819,161,223,4.5,4.8,4.2,4.0,183,33,7,8,4.5,4.0,3.5,3.0
143,https://github.com/wighawag/hardhat-deploy,https://github.com/vyperlang/vyper,0.39418553024,0.60581446976,1.2k,298,15,88,4.5,4.8,4.2,4.0,5k,819,161,223,4.5,4.8,4.2,4.0
144,https://github.com/wighawag/hardhat-deploy,https://github.com/prysmaticlabs/prysm,0.12664522415,0.87335477585,1.2k,298,15,88,4.5,4.8,4.2,4.0,3.5k,1.1k,129,257,4.5,4.8,4.2,4.0
146,https://github.com/wighawag/hardhat-deploy,https://github.com/sigp/lighthouse,0.15094902701,0.84905097299,1.2k,298,15,88,4.5,4.8,4.2,4.0,3k,784,70,192,4.5,4.8,4.2,4.0
147,https://github.com/wighawag/hardhat-deploy,https://github.com/ethers-io/ethers.js,0.11700473312,0.88299526688,1.2k,298,15,88,4.5,4.8,4.2,4.0,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0
148,https://github.com/wighawag/hardhat-deploy,https://github.com/nomicfoundation/hardhat,0.22218121407,0.77781878593,1.2k,298,15,88,4.5,4.8,4.2,4.0,7.4k,1.5k,77,373,4.5,4.8,4.7,4.3
149,https://github.com/wighawag/hardhat-deploy,https://github.com/consensys/teku,0.79611850156,0.20388149844,1.2k,298,15,88,4.5,4.8,4.2,4.0,692,304,34,109,4.5,4.0,4.0,3.5
151,https://github.com/wighawag/hardhat-deploy,https://github.com/ethereum/solidity,0.40620769382,0.59379230618,1.2k,298,15,88,4.5,4.8,4.2,4.0,23.7k,5.9k,732,636,4.5,4.8,4.7,4.2
152,https://github.com/wighawag/hardhat-deploy,https://github.com/ethereum/remix-project,0.44716418645,0.55283581355,1.2k,298,15,88,4.5,4.8,4.2,4.0,2.5k,1k,68,181,4.5,4.8,4.2,4.0
154,https://github.com/wighawag/hardhat-deploy,https://github.com/chainsafe/lodestar,0.33179281897,0.66820718103,1.2k,298,15,88,4.5,4.8,4.2,4.0,1.2k,317,35,111,4.5,4.8,4.2,4.0
155,https://github.com/wighawag/hardhat-deploy,https://github.com/wevm/viem,0.14712989147,0.85287010853,1.2k,298,15,88,4.5,4.8,4.2,4.0,2.7k,946,30,498,4.5,4.8,4.2,4.0
156,https://github.com/wighawag/hardhat-deploy,https://github.com/bluealloy/revm,0.72764967307,0.27235032693,1.2k,298,15,88,4.5,4.8,4.2,4.0,1.7k,602,30,154,4.5,4.8,4.2,4.0
157,https://github.com/wighawag/hardhat-deploy,https://github.com/openzeppelin/openzeppelin-contracts,0.18186821513,0.81813178487,1.2k,298,15,88,4.5,4.8,4.2,4.0,25.2k,11.9k,640,464,4.5,4.8,4.7,4.3
159,https://github.com/wighawag/hardhat-deploy,https://github.com/web3/web3.js,0.23265343415,0.76734656585,1.2k,298,15,88,4.5,4.8,4.2,4.0,19.5k,5k,463,298,4.5,4.8,4.2,4.0
160,https://github.com/wighawag/hardhat-deploy,https://github.com/ipfs/js-ipfs,0.46017507600,0.53982492400,1.2k,298,15,88,4.5,4.8,4.2,4.0,7.4k,1.3k,223,221,4.0,4.5,3.5,3.0
161,https://github.com/wighawag/hardhat-deploy,https://github.com/supranational/blst,0.60637749435,0.39362250565,1.2k,298,15,88,4.5,4.8,4.2,4.0,485,182,18,22,4.5,4.8,3.5,3.8
162,https://github.com/wighawag/hardhat-deploy,https://github.com/status-im/nimbus-eth2,0.38024280890,0.61975719110,1.2k,298,15,88,4.5,4.8,4.2,4.0,558,251,37,93,4.5,4.0,3.5,3.0
164,https://github.com/wighawag/hardhat-deploy,https://github.com/safe-global/safe-smart-account,0.34378635450,0.65621364550,1.2k,298,15,88,4.5,4.8,4.2,4.0,1.9k,957,49,50,4.5,4.0,3.5,3.0
165,https://github.com/wighawag/hardhat-deploy,https://github.com/crate-crypto/go-ipa,0.75230615655,0.24769384345,1.2k,298,15,88,4.5,4.8,4.2,4.0,33,14,3,3,4.0,4.5,3.0,3.5
166,https://github.com/wighawag/hardhat-deploy,https://github.com/libp2p/go-libp2p,0.24999982030,0.75000017970,1.2k,298,15,88,4.5,4.8,4.2,4.0,6.2k,1.1k,181,214,4.5,4.8,4.2,4.0
168,https://github.com/wighawag/hardhat-deploy,https://github.com/alloy-rs/core,0.56179780730,0.43820219270,1.2k,298,15,88,4.5,4.8,4.2,4.0,818,167,22,66,4.5,4.8,4.2,4.0
170,https://github.com/ethers-io/ethers.js,https://github.com/ethereum/solidity,0.71156446696,0.28843553304,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,23.7k,5.9k,732,636,4.5,4.8,4.7,4.2
172,https://github.com/ethers-io/ethers.js,https://github.com/ethereum/go-ethereum,0.69652336388,0.30347663612,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,48.1k,20.4k,2.2k,"1,111",4.5,4.8,4.7,4.2
173,https://github.com/ethers-io/ethers.js,https://github.com/chainsafe/lodestar,0.82102307463,0.17897692537,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,1.2k,317,35,111,4.5,4.8,4.2,4.0
181,https://github.com/ethers-io/ethers.js,https://github.com/clap-rs/clap,0.27272945017,0.72727054983,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,14.6k,1.1k,69,517,4.5,4.8,4.2,4.0
182,https://github.com/ethers-io/ethers.js,https://github.com/babel/babel,0.00596088863,0.99403911137,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,43.4k,5.7k,804,"1,091",4.5,4.8,4.7,4.3
183,https://github.com/ethers-io/ethers.js,https://github.com/ajv-validator/ajv,0.06731850466,0.93268149534,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,14k,886,112,207,4.5,4.8,4.2,4.0
186,https://github.com/ethers-io/ethers.js,https://github.com/boa-dev/boa,0.29350332737,0.70649667263,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0,5.4k,411,47,177,4.5,4.8,4.2,4.0
